IRASPSC,RA_IRAS,DEC_IRAS,ID_SIM,sample,JCMT,mapping,APEX,gp,flag,RA,DEC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,chem,DIST_BEST_TYPE,DIST_BEST,EDIST_BEST,GRAMS_lum_used,GRAMS_DPR_used,Lcom,dLcom,dLcom_D,MLRcom,dMLRcom,dMLRcom_D,HIP,Teff,Lum,Est. log(g),Av,errAv,XS_MIR,d,delta d / d,Data,Ndup(2-1),Ndup(3-2),F_cont,F_cont_per_beam,F_CO,F_CO_per_beam
"IRAS 06050-0623",91.864400,-6.3964500,"IRAS 06050-0623","extreme",1,0,0,0,"--",6.0000000,-6.0000000,52.000000,10.000000,93,"E","M",1988.0000,"O","LUM",0.87896300,"nan",1000.0000,3.4757100e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,5.8077700,0.0064530800,5449.9300,6.0554800
"IRAS 06193-0349",95.465300,-3.8450000,"V* V654 Mon","extreme",1,0,0,0,"--",6.0000000,-3.0000000,0.060000000,0.060000000,90,"B","N",2003.0000,"O","LUM",1.6898000,"nan",2853.3900,1.0827200e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.3976900,0.0015529900,363.77200,0.40419100
"IRAS 08011-3627",120.75800,-36.597200,"V* AR Pup","extreme",1,0,1,0,"--",8.0000000,-36.000000,0.0000000,0.0000000,0,"A","O",2016.0000,"O","LUM",1.3721900,"nan",4149.4400,1.3056600e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,3.0823600,0.0034248500,690.63300,0.76737100
"IRAS 09256-6324",141.71400,-63.621500,"V* IW Car","extreme",0,0,1,0,"--",9.0000000,-63.000000,0.0000000,0.0000000,90,"A","O",2016.0000,"O","LUM",1.5751800,"nan",3572.2200,6.3514000e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,6.1656600,0.0068507300,3498.3500,3.8870500
"IRAS 09572-5636",149.73900,-56.854700,"IRAS 09572-5636","extreme",0,0,1,0,"--",9.0000000,-56.000000,17.000000,5.0000000,150,"E","M",1988.0000,"O","LUM",1.5845400,"nan",1000.0000,2.0000000e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.71077800,0.00078975400,863.89800,0.95988700
"IRAS 09576-5644",149.82900,-56.977500,"IRAS 09576-5644","extreme",0,0,1,0,"--",9.0000000,-56.000000,15.000000,3.0000000,148,"E","M",1988.0000,"O","LUM",1.7916500,"nan",1000.0000,1.3543000e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.37558800,0.00041732000,423.28400,0.47031500
"IRAS 09578-5649",149.88000,-57.062600,"IRAS 09578-5649","extreme",0,0,1,0,"--",9.0000000,-57.000000,15.000000,6.0000000,152,"E","M",1988.0000,"O","LUM",1.5431300,"nan",2456.4600,5.0223200e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,7.5590600,0.0083989600,2750.1700,3.0557500
"IRAS 09590-5727",150.19000,-57.707200,"IRAS 09590-5727","extreme",0,0,1,0,"--",10.000000,-57.000000,12.000000,4.0000000,151,"E","M",1988.0000,"O","LUM",2.2705800,"nan",1077.7700,3.0242600e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.3998000,0.0015553400,691.11400,0.76790400
"IRAS 10215-5916",155.83100,-59.535000,"HD 302821","extreme",0,0,1,0,"--",10.000000,-59.000000,0.15600000,0.15000000,90,"B","",1988.0000,"O","LUM",0.67700200,"nan",8141.8100,2.1611800e-06,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,295.92500,0.32880500,82324.500,91.471700
"IRAS 10226-5229",156.14500,-52.737800,"V* V515 Vel","extreme",0,0,1,0,"--",10.000000,-52.000000,0.0000000,0.0000000,0,"D","I",1990.0000,"O","LUM",1.9790900,"nan",8141.8100,1.3464400e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.3026400,0.0014473800,344.48700,0.38276400
"IRAS 10323-4611",158.62800,-46.458000,"IRAS 10323-4611","extreme",0,0,1,0,"--",10.000000,-46.000000,0.080000000,0.080000000,90,"B","I",2003.0000,"O","LUM",0.67437000,"nan",3850.0200,1.2100000e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,10.552400,0.011724900,2609.7800,2.8997600
"IRAS 10481-6930",162.44800,-69.766000,"IRAS 10481-6930","extreme",0,0,1,0,"--",10.000000,-69.000000,0.060000000,0.060000000,90,"B","I",2003.0000,"O","LUM",2.4594300,"nan",7009.2200,1.2132700e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.87630000,0.00097366600,196.86100,0.21873500
"IRAS 11101-5829",168.07500,-58.772200,"IRAS 11101-5829","extreme",0,0,1,0,"--",11.000000,-58.000000,19.000000,5.0000000,132,"E","M",1988.0000,"O","LUM",1.8523600,"nan",1077.7700,1.5121300e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.1042700,0.0012269600,451.99800,0.50222000
"IRAS 11254-6244",171.93500,-63.010500,"IRAS 11254-6244","extreme",0,0,1,0,"--",11.000000,-63.000000,16.000000,3.0000000,145,"E","M",1988.0000,"O","LUM",2.3953300,"nan",1000.0000,1.7478700e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.72393100,0.00080436700,321.63300,0.35737000
"IRAS 11260-6241",172.07900,-62.967900,"RAFGL 4132","extreme",0,0,1,0,"--",11.000000,-62.000000,28.000000,6.0000000,140,"E","M",1988.0000,"O","LUM",2.3913100,"nan",1161.5900,2.8256900e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.2314900,0.0013683200,574.32500,0.63813900
"IRAS 11266-6249",172.23000,-63.103200,"IRAS 11266-6249","extreme",0,0,1,0,"--",11.000000,-63.000000,14.000000,3.0000000,154,"E","M",1988.0000,"O","LUM",2.2155500,"nan",1000.0000,1.6443900e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.61592800,0.00068436400,349.40000,0.38822200
"IRAS 11438-6330",176.55700,-63.786800,"OH 259.8 -1.8","extreme",0,0,1,0,"--",11.000000,-63.000000,10.000000,3.0000000,151,"E","M",1988.0000,"O","LUM",1.0035100,"nan",8141.8100,5.8179500e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,23.054500,0.025616100,7758.1900,8.6202200
"IRAS 12384-4536",190.31500,-45.890400,"IRAS 12384-4536","extreme",0,0,1,0,"--",12.000000,-45.000000,0.060000000,0.060000000,90,"B","I",2003.0000,"O","LUM",1.2083900,"nan",3572.2200,2.2023500e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,7.0385900,0.0078206600,1667.7400,1.8530500
"IRAS 13517-6515",208.87800,-65.510200,"IRAS 13517-6515","extreme",0,0,1,0,"--",13.000000,-65.000000,23.000000,3.0000000,124,"E","M",1988.0000,"O","LUM",1.4644800,"nan",6034.1800,1.3135300e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,2.1736100,0.0024151300,610.71900,0.67857600
